city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target
5,0.92,1,0,3,2,5,21.0,0,6,1.0,36,1.0
77,0.7759999999999999,1,1,3,2,5,15.0,3,5,5.0,47,0.0
64,0.624,3,1,0,2,5,5.0,0,6,0.0,83,0.0
14,0.789,3,1,2,2,1,0.0,0,5,0.0,52,1.0
50,0.767,1,0,3,3,5,21.0,3,1,4.0,8,0.0
57,0.764,3,0,1,2,5,11.0,0,6,1.0,24,1.0
49,0.92,1,0,3,1,6,5.0,3,1,1.0,24,0.0
83,0.762,1,0,3,2,5,13.0,1,5,5.0,18,1.0
5,0.92,1,0,3,2,5,7.0,3,5,1.0,46,1.0
5,0.92,3,0,3,2,5,17.0,8,5,5.0,123,0.0
64,0.624,3,1,0,1,6,2.0,0,6,0.0,32,1.0
5,0.92,1,0,3,2,5,5.0,7,5,1.0,108,0.0
91,0.913,1,0,3,2,5,21.0,6,5,3.0,23,0.0
64,0.624,1,1,2,-1,6,2.0,0,6,0.0,24,0.0
64,0.624,3,1,0,1,6,5.0,0,6,0.0,26,0.0
13,0.926,1,0,3,2,5,16.0,2,5,5.0,18,0.0
5,0.92,3,0,3,2,5,1.0,3,5,0.0,106,0.0
64,0.624,3,0,3,2,5,2.0,7,5,2.0,7,0.0
64,0.624,3,0,3,2,5,7.0,8,5,0.0,23,1.0
26,0.8270000000000001,0,0,3,2,0,4.0,0,6,1.0,132,1.0
47,0.843,1,0,3,3,5,11.0,4,5,1.0,68,0.0
13,0.926,1,0,3,3,5,11.0,4,5,2.0,50,0.0
4,0.804,3,0,3,3,5,10.0,0,6,1.0,48,0.0
77,0.7759999999999999,1,0,3,2,2,0.0,6,5,1.0,65,0.0
64,0.624,3,0,3,2,5,5.0,6,5,1.0,13,0.0
95,0.855,3,1,3,1,6,4.0,0,6,0.0,22,0.0
64,0.624,3,0,1,2,5,14.0,5,5,1.0,148,1.0
5,0.92,1,0,3,2,0,5.0,0,6,2.0,72,0.0
2,0.887,1,0,3,1,6,11.0,1,5,1.0,8,1.0
64,0.624,1,0,3,2,5,18.0,3,1,2.0,68,1.0
5,0.92,1,0,3,2,5,21.0,4,5,3.0,40,0.0
5,0.92,1,0,1,2,5,19.0,7,5,5.0,141,0.0
5,0.92,0,1,0,2,5,5.0,0,6,1.0,24,0.0
49,0.92,0,0,3,2,5,21.0,4,5,5.0,82,0.0
48,0.91,1,0,3,2,1,12.0,7,5,3.0,145,0.0
5,0.92,1,0,3,2,5,10.0,2,0,2.0,206,0.0
13,0.926,1,1,1,1,6,1.0,8,3,1.0,152,0.0
13,0.926,1,0,3,4,5,21.0,4,5,4.0,42,1.0
5,0.92,3,1,3,2,5,12.0,0,6,4.0,50,0.0
99,0.884,1,1,3,-1,6,3.0,0,6,0.0,106,0.0
13,0.926,0,0,0,3,5,16.0,6,4,2.0,14,0.0
6,0.924,1,0,3,1,6,4.0,2,5,2.0,36,0.0
64,0.624,3,0,3,3,5,6.0,3,0,1.0,112,1.0
93,0.6659999999999999,3,1,3,2,3,9.0,3,5,0.0,108,0.0
64,0.624,1,0,1,3,5,9.0,7,5,3.0,7,1.0
64,0.624,0,1,0,3,5,5.0,0,6,0.0,26,1.0
64,0.624,1,0,3,2,5,5.0,4,5,0.0,87,1.0
5,0.92,2,0,3,2,5,19.0,8,4,4.0,52,1.0
3,0.5579999999999999,1,0,3,2,3,15.0,0,6,5.0,20,1.0
112,0.923,1,0,3,2,5,11.0,2,5,1.0,21,0.0
3,0.5579999999999999,1,1,3,2,5,4.0,0,6,1.0,92,1.0
93,0.6659999999999999,1,0,3,2,5,10.0,4,5,2.0,102,0.0
7,0.794,1,1,3,2,2,5.0,8,5,5.0,26,0.0
6,0.924,3,0,3,3,5,3.0,1,0,2.0,7,0.0
13,0.926,1,1,0,1,6,4.0,8,5,1.0,43,0.0
6,0.924,1,0,3,2,5,21.0,4,5,1.0,45,0.0
101,0.754,1,0,0,2,5,2.0,3,0,2.0,52,0.0
5,0.92,1,0,3,2,5,21.0,0,6,2.0,19,0.0
64,0.624,3,0,0,2,5,2.0,2,1,0.0,32,1.0
50,0.767,1,0,3,2,2,21.0,4,5,5.0,26,1.0
95,0.855,1,0,1,2,5,6.0,0,6,1.0,90,0.0
103,0.939,1,0,3,2,5,6.0,4,5,3.0,25,0.0
78,0.8270000000000001,3,0,2,3,5,13.0,1,6,1.0,15,0.0
2,0.887,1,0,3,3,2,21.0,4,5,5.0,48,0.0
11,0.55,3,1,0,1,6,3.0,0,6,0.0,98,0.0
118,0.865,1,0,3,2,5,10.0,3,5,2.0,142,1.0
95,0.855,2,1,3,3,2,4.0,8,5,4.0,13,0.0
48,0.91,1,0,3,2,5,15.0,0,6,5.0,47,0.0
48,0.91,0,0,3,3,2,14.0,5,4,1.0,28,0.0
116,0.698,3,1,2,-1,6,2.0,0,5,0.0,228,1.0
93,0.6659999999999999,1,0,3,2,5,21.0,0,6,4.0,22,0.0
64,0.624,1,1,0,2,5,0.0,0,6,0.0,18,1.0
26,0.8270000000000001,1,0,3,2,5,2.0,2,5,1.0,29,0.0
95,0.855,1,0,3,3,5,5.0,4,6,1.0,46,0.0
11,0.55,3,1,0,2,5,0.0,0,6,0.0,12,0.0
5,0.92,3,0,3,2,5,5.0,4,5,2.0,17,0.0
74,0.893,1,0,3,3,5,5.0,3,5,2.0,65,0.0
5,0.92,1,1,3,2,2,3.0,4,5,1.0,35,0.0
95,0.855,1,1,0,2,5,9.0,8,5,3.0,14,0.0
5,0.92,0,0,3,3,5,2.0,1,0,1.0,4,0.0
5,0.92,1,0,3,2,5,15.0,3,5,5.0,12,0.0
49,0.92,1,0,3,2,5,21.0,3,5,2.0,108,0.0
5,0.92,1,1,3,2,5,21.0,0,6,1.0,136,0.0
5,0.92,1,0,3,2,5,5.0,2,6,1.0,27,0.0
63,0.7959999999999999,3,0,1,3,5,4.0,3,1,1.0,74,0.0
99,0.884,1,0,3,2,5,15.0,2,0,1.0,86,0.0
89,0.866,0,1,1,2,5,0.0,2,5,2.0,83,0.0
5,0.92,3,1,0,1,6,4.0,0,6,3.0,75,0.0
43,0.698,1,1,0,3,5,11.0,0,4,2.0,42,0.0
5,0.92,0,0,3,2,5,6.0,4,6,1.0,332,0.0
91,0.913,1,1,0,2,5,4.0,0,6,0.0,140,0.0
48,0.91,1,1,3,1,6,3.0,0,6,0.0,182,0.0
5,0.92,0,1,3,2,2,3.0,4,5,1.0,13,1.0
61,0.682,3,0,3,2,5,5.0,2,5,2.0,172,1.0
5,0.92,3,0,3,2,5,10.0,4,2,1.0,48,0.0
94,0.802,1,0,0,2,5,9.0,3,5,1.0,33,0.0
49,0.92,3,1,0,1,6,2.0,4,5,1.0,142,0.0
102,0.579,3,1,0,2,5,2.0,4,5,1.0,34,0.0
94,0.802,1,0,3,2,5,6.0,3,5,2.0,14,1.0
11,0.55,1,0,3,2,5,6.0,2,5,2.0,27,1.0
11,0.55,1,0,3,2,5,8.0,4,5,1.0,24,1.0
55,0.878,3,1,3,3,5,21.0,0,6,1.0,150,0.0
5,0.92,0,0,3,2,5,11.0,5,2,5.0,20,0.0
5,0.92,3,0,3,2,5,5.0,5,6,1.0,140,0.0
48,0.91,1,0,3,2,5,12.0,7,5,1.0,52,0.0
103,0.939,1,0,3,2,5,21.0,3,5,2.0,160,0.0
30,0.897,1,0,3,3,5,9.0,7,5,2.0,3,0.0
64,0.624,1,0,3,2,5,2.0,1,5,2.0,2,1.0
48,0.91,1,0,3,2,5,21.0,6,5,5.0,28,0.0
101,0.754,1,0,3,2,4,21.0,0,6,4.0,46,0.0
95,0.855,1,0,3,2,5,8.0,3,5,1.0,210,0.0
13,0.926,1,0,3,2,5,10.0,1,5,1.0,36,0.0
121,0.949,1,1,0,2,5,4.0,0,6,1.0,160,1.0
64,0.624,1,0,0,2,5,2.0,2,2,2.0,101,0.0
13,0.926,1,0,3,3,5,6.0,3,6,1.0,46,0.0
120,0.925,1,0,3,2,5,21.0,6,5,5.0,19,0.0
64,0.624,1,0,3,2,5,3.0,4,5,2.0,26,1.0
116,0.698,3,0,0,2,5,7.0,1,2,1.0,90,0.0
85,0.8959999999999999,1,0,3,2,5,9.0,1,5,4.0,59,0.0
49,0.92,1,0,1,2,1,10.0,3,1,1.0,260,0.0
64,0.624,0,0,3,2,5,11.0,3,5,5.0,74,0.0
48,0.91,1,0,3,4,5,21.0,4,5,2.0,20,1.0
55,0.878,1,0,3,2,5,12.0,4,5,2.0,8,0.0
5,0.92,1,0,3,2,5,6.0,4,5,1.0,131,0.0
31,0.836,1,0,0,3,5,7.0,0,6,1.0,45,0.0
111,0.693,1,0,0,2,5,11.0,2,5,2.0,109,0.0
95,0.855,1,0,3,2,2,3.0,4,5,1.0,70,0.0
5,0.92,0,0,3,2,5,21.0,4,2,5.0,17,0.0
5,0.92,0,1,3,3,5,15.0,3,5,1.0,51,0.0
5,0.92,0,0,3,2,5,6.0,3,5,3.0,60,1.0
74,0.893,3,1,3,4,5,21.0,6,4,5.0,4,0.0
13,0.926,1,1,3,2,5,12.0,4,5,5.0,7,0.0
4,0.804,3,0,3,3,5,21.0,4,5,3.0,164,0.0
93,0.6659999999999999,1,0,3,2,5,20.0,0,6,4.0,290,0.0
4,0.804,1,1,3,1,6,2.0,1,2,0.0,145,0.0
5,0.92,3,1,3,4,5,0.0,0,6,0.0,70,0.0
64,0.624,1,1,3,-1,6,3.0,0,6,1.0,24,0.0
5,0.92,1,1,3,3,2,3.0,8,5,1.0,133,1.0
11,0.55,3,1,0,2,5,2.0,0,6,1.0,20,0.0
