city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,21.0,Unknown,Unknown,1.0,36,1.0
city_40,0.7759999999999999,Male,No relevent experience,no_enrollment,Graduate,STEM,15.0,50-99,Pvt Ltd,5.0,47,0.0
city_21,0.624,Unknown,No relevent experience,Full time course,Graduate,STEM,5.0,Unknown,Unknown,0.0,83,0.0
city_115,0.789,Unknown,No relevent experience,Unknown,Graduate,Business Degree,0.0,Unknown,Pvt Ltd,0.0,52,1.0
city_162,0.767,Male,Has relevent experience,no_enrollment,Masters,STEM,21.0,50-99,Funded Startup,4.0,8,0.0
city_176,0.764,Unknown,Has relevent experience,Part time course,Graduate,STEM,11.0,Unknown,Unknown,1.0,24,1.0
city_160,0.92,Male,Has relevent experience,no_enrollment,High School,Unknown,5.0,50-99,Funded Startup,1.0,24,0.0
city_46,0.762,Male,Has relevent experience,no_enrollment,Graduate,STEM,13.0,<10,Pvt Ltd,5.0,18,1.0
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,7.0,50-99,Pvt Ltd,1.0,46,1.0
city_103,0.92,Unknown,Has relevent experience,no_enrollment,Graduate,STEM,17.0,10000+,Pvt Ltd,5.0,123,0.0
city_21,0.624,Unknown,No relevent experience,Full time course,High School,Unknown,2.0,Unknown,Unknown,0.0,32,1.0
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,5.0,5000-9999,Pvt Ltd,1.0,108,0.0
city_61,0.913,Male,Has relevent experience,no_enrollment,Graduate,STEM,21.0,1000-4999,Pvt Ltd,3.0,23,0.0
city_21,0.624,Male,No relevent experience,Unknown,Unknown,Unknown,2.0,Unknown,Unknown,0.0,24,0.0
city_21,0.624,Unknown,No relevent experience,Full time course,High School,Unknown,5.0,Unknown,Unknown,0.0,26,0.0
city_114,0.926,Male,Has relevent experience,no_enrollment,Graduate,STEM,16.0,10/49,Pvt Ltd,5.0,18,0.0
city_103,0.92,Unknown,Has relevent experience,no_enrollment,Graduate,STEM,1.0,50-99,Pvt Ltd,0.0,106,0.0
city_21,0.624,Unknown,Has relevent experience,no_enrollment,Graduate,STEM,2.0,5000-9999,Pvt Ltd,2.0,7,0.0
city_21,0.624,Unknown,Has relevent experience,no_enrollment,Graduate,STEM,7.0,10000+,Pvt Ltd,0.0,23,1.0
city_13,0.8270000000000001,Female,Has relevent experience,no_enrollment,Graduate,Arts,4.0,Unknown,Unknown,1.0,132,1.0
city_159,0.843,Male,Has relevent experience,no_enrollment,Masters,STEM,11.0,100-500,Pvt Ltd,1.0,68,0.0
city_114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,11.0,100-500,Pvt Ltd,2.0,50,0.0
city_102,0.804,Unknown,Has relevent experience,no_enrollment,Masters,STEM,10.0,Unknown,Unknown,1.0,48,0.0
city_40,0.7759999999999999,Male,Has relevent experience,no_enrollment,Graduate,Humanities,0.0,1000-4999,Pvt Ltd,1.0,65,0.0
city_21,0.624,Unknown,Has relevent experience,no_enrollment,Graduate,STEM,5.0,1000-4999,Pvt Ltd,1.0,13,0.0
city_67,0.855,Unknown,No relevent experience,no_enrollment,High School,Unknown,4.0,Unknown,Unknown,0.0,22,0.0
city_21,0.624,Unknown,Has relevent experience,Part time course,Graduate,STEM,14.0,500-999,Pvt Ltd,1.0,148,1.0
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Arts,5.0,Unknown,Unknown,2.0,72,0.0
city_100,0.887,Male,Has relevent experience,no_enrollment,High School,Unknown,11.0,<10,Pvt Ltd,1.0,8,1.0
city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,18.0,50-99,Funded Startup,2.0,68,1.0
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,21.0,100-500,Pvt Ltd,3.0,40,0.0
city_103,0.92,Male,Has relevent experience,Part time course,Graduate,STEM,19.0,5000-9999,Pvt Ltd,5.0,141,0.0
city_103,0.92,Female,No relevent experience,Full time course,Graduate,STEM,5.0,Unknown,Unknown,1.0,24,0.0
city_160,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,21.0,100-500,Pvt Ltd,5.0,82,0.0
city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,Business Degree,12.0,5000-9999,Pvt Ltd,3.0,145,0.0
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,10.0,10/49,Early Stage Startup,2.0,206,0.0
city_114,0.926,Male,No relevent experience,Part time course,High School,Unknown,1.0,10000+,Other,1.0,152,0.0
city_114,0.926,Male,Has relevent experience,no_enrollment,Phd,STEM,21.0,100-500,Pvt Ltd,4.0,42,1.0
city_103,0.92,Unknown,No relevent experience,no_enrollment,Graduate,STEM,12.0,Unknown,Unknown,4.0,50,0.0
city_71,0.884,Male,No relevent experience,no_enrollment,Unknown,Unknown,3.0,Unknown,Unknown,0.0,106,0.0
city_114,0.926,Female,Has relevent experience,Full time course,Masters,STEM,16.0,1000-4999,Public Sector,2.0,14,0.0
city_104,0.924,Male,Has relevent experience,no_enrollment,High School,Unknown,4.0,10/49,Pvt Ltd,2.0,36,0.0
city_21,0.624,Unknown,Has relevent experience,no_enrollment,Masters,STEM,6.0,50-99,Early Stage Startup,1.0,112,1.0
city_64,0.6659999999999999,Unknown,No relevent experience,no_enrollment,Graduate,No Major,9.0,50-99,Pvt Ltd,0.0,108,0.0
city_21,0.624,Male,Has relevent experience,Part time course,Masters,STEM,9.0,5000-9999,Pvt Ltd,3.0,7,1.0
city_21,0.624,Female,No relevent experience,Full time course,Masters,STEM,5.0,Unknown,Unknown,0.0,26,1.0
city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,5.0,100-500,Pvt Ltd,0.0,87,1.0
city_103,0.92,Other,Has relevent experience,no_enrollment,Graduate,STEM,19.0,10000+,Public Sector,4.0,52,1.0
city_101,0.5579999999999999,Male,Has relevent experience,no_enrollment,Graduate,No Major,15.0,Unknown,Unknown,5.0,20,1.0
city_83,0.923,Male,Has relevent experience,no_enrollment,Graduate,STEM,11.0,10/49,Pvt Ltd,1.0,21,0.0
city_101,0.5579999999999999,Male,No relevent experience,no_enrollment,Graduate,STEM,4.0,Unknown,Unknown,1.0,92,1.0
city_64,0.6659999999999999,Male,Has relevent experience,no_enrollment,Graduate,STEM,10.0,100-500,Pvt Ltd,2.0,102,0.0
city_105,0.794,Male,No relevent experience,no_enrollment,Graduate,Humanities,5.0,10000+,Pvt Ltd,5.0,26,0.0
city_104,0.924,Unknown,Has relevent experience,no_enrollment,Masters,STEM,3.0,<10,Early Stage Startup,2.0,7,0.0
city_114,0.926,Male,No relevent experience,Full time course,High School,Unknown,4.0,10000+,Pvt Ltd,1.0,43,0.0
city_104,0.924,Male,Has relevent experience,no_enrollment,Graduate,STEM,21.0,100-500,Pvt Ltd,1.0,45,0.0
city_73,0.754,Male,Has relevent experience,Full time course,Graduate,STEM,2.0,50-99,Early Stage Startup,2.0,52,0.0
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,21.0,Unknown,Unknown,2.0,19,0.0
city_21,0.624,Unknown,Has relevent experience,Full time course,Graduate,STEM,2.0,10/49,Funded Startup,0.0,32,1.0
city_162,0.767,Male,Has relevent experience,no_enrollment,Graduate,Humanities,21.0,100-500,Pvt Ltd,5.0,26,1.0
city_67,0.855,Male,Has relevent experience,Part time course,Graduate,STEM,6.0,Unknown,Unknown,1.0,90,0.0
city_75,0.939,Male,Has relevent experience,no_enrollment,Graduate,STEM,6.0,100-500,Pvt Ltd,3.0,25,0.0
city_41,0.8270000000000001,Unknown,Has relevent experience,Unknown,Masters,STEM,13.0,<10,Unknown,1.0,15,0.0
city_100,0.887,Male,Has relevent experience,no_enrollment,Masters,Humanities,21.0,100-500,Pvt Ltd,5.0,48,0.0
city_11,0.55,Unknown,No relevent experience,Full time course,High School,Unknown,3.0,Unknown,Unknown,0.0,98,0.0
city_93,0.865,Male,Has relevent experience,no_enrollment,Graduate,STEM,10.0,50-99,Pvt Ltd,2.0,142,1.0
city_67,0.855,Other,No relevent experience,no_enrollment,Masters,Humanities,4.0,10000+,Pvt Ltd,4.0,13,0.0
city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,15.0,Unknown,Unknown,5.0,47,0.0
city_16,0.91,Female,Has relevent experience,no_enrollment,Masters,Humanities,14.0,500-999,Public Sector,1.0,28,0.0
city_90,0.698,Unknown,No relevent experience,Unknown,Unknown,Unknown,2.0,Unknown,Pvt Ltd,0.0,228,1.0
city_64,0.6659999999999999,Male,Has relevent experience,no_enrollment,Graduate,STEM,21.0,Unknown,Unknown,4.0,22,0.0
city_21,0.624,Male,No relevent experience,Full time course,Graduate,STEM,0.0,Unknown,Unknown,0.0,18,1.0
city_13,0.8270000000000001,Male,Has relevent experience,no_enrollment,Graduate,STEM,2.0,10/49,Pvt Ltd,1.0,29,0.0
city_67,0.855,Male,Has relevent experience,no_enrollment,Masters,STEM,5.0,100-500,Unknown,1.0,46,0.0
city_11,0.55,Unknown,No relevent experience,Full time course,Graduate,STEM,0.0,Unknown,Unknown,0.0,12,0.0
city_103,0.92,Unknown,Has relevent experience,no_enrollment,Graduate,STEM,5.0,100-500,Pvt Ltd,2.0,17,0.0
city_36,0.893,Male,Has relevent experience,no_enrollment,Masters,STEM,5.0,50-99,Pvt Ltd,2.0,65,0.0
city_103,0.92,Male,No relevent experience,no_enrollment,Graduate,Humanities,3.0,100-500,Pvt Ltd,1.0,35,0.0
city_67,0.855,Male,No relevent experience,Full time course,Graduate,STEM,9.0,10000+,Pvt Ltd,3.0,14,0.0
city_103,0.92,Female,Has relevent experience,no_enrollment,Masters,STEM,2.0,<10,Early Stage Startup,1.0,4,0.0
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,15.0,50-99,Pvt Ltd,5.0,12,0.0
city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,21.0,50-99,Pvt Ltd,2.0,108,0.0
city_103,0.92,Male,No relevent experience,no_enrollment,Graduate,STEM,21.0,Unknown,Unknown,1.0,136,0.0
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,5.0,10/49,Unknown,1.0,27,0.0
city_20,0.7959999999999999,Unknown,Has relevent experience,Part time course,Masters,STEM,4.0,50-99,Funded Startup,1.0,74,0.0
city_71,0.884,Male,Has relevent experience,no_enrollment,Graduate,STEM,15.0,10/49,Early Stage Startup,1.0,86,0.0
city_57,0.866,Female,No relevent experience,Part time course,Graduate,STEM,0.0,10/49,Pvt Ltd,2.0,83,0.0
city_103,0.92,Unknown,No relevent experience,Full time course,High School,Unknown,4.0,Unknown,Unknown,3.0,75,0.0
city_152,0.698,Male,No relevent experience,Full time course,Masters,STEM,11.0,Unknown,Public Sector,2.0,42,0.0
city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,6.0,100-500,Unknown,1.0,332,0.0
city_61,0.913,Male,No relevent experience,Full time course,Graduate,STEM,4.0,Unknown,Unknown,0.0,140,0.0
city_16,0.91,Male,No relevent experience,no_enrollment,High School,Unknown,3.0,Unknown,Unknown,0.0,182,0.0
city_103,0.92,Female,No relevent experience,no_enrollment,Graduate,Humanities,3.0,100-500,Pvt Ltd,1.0,13,1.0
city_19,0.682,Unknown,Has relevent experience,no_enrollment,Graduate,STEM,5.0,10/49,Pvt Ltd,2.0,172,1.0
city_103,0.92,Unknown,Has relevent experience,no_enrollment,Graduate,STEM,10.0,100-500,NGO,1.0,48,0.0
city_65,0.802,Male,Has relevent experience,Full time course,Graduate,STEM,9.0,50-99,Pvt Ltd,1.0,33,0.0
city_160,0.92,Unknown,No relevent experience,Full time course,High School,Unknown,2.0,100-500,Pvt Ltd,1.0,142,0.0
city_74,0.579,Unknown,No relevent experience,Full time course,Graduate,STEM,2.0,100-500,Pvt Ltd,1.0,34,0.0
city_65,0.802,Male,Has relevent experience,no_enrollment,Graduate,STEM,6.0,50-99,Pvt Ltd,2.0,14,1.0
city_11,0.55,Male,Has relevent experience,no_enrollment,Graduate,STEM,6.0,10/49,Pvt Ltd,2.0,27,1.0
city_11,0.55,Male,Has relevent experience,no_enrollment,Graduate,STEM,8.0,100-500,Pvt Ltd,1.0,24,1.0
city_173,0.878,Unknown,No relevent experience,no_enrollment,Masters,STEM,21.0,Unknown,Unknown,1.0,150,0.0
city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,11.0,500-999,NGO,5.0,20,0.0
city_103,0.92,Unknown,Has relevent experience,no_enrollment,Graduate,STEM,5.0,500-999,Unknown,1.0,140,0.0
city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,12.0,5000-9999,Pvt Ltd,1.0,52,0.0
city_75,0.939,Male,Has relevent experience,no_enrollment,Graduate,STEM,21.0,50-99,Pvt Ltd,2.0,160,0.0
city_136,0.897,Male,Has relevent experience,no_enrollment,Masters,STEM,9.0,5000-9999,Pvt Ltd,2.0,3,0.0
city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,2.0,<10,Pvt Ltd,2.0,2,1.0
city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,21.0,1000-4999,Pvt Ltd,5.0,28,0.0
city_73,0.754,Male,Has relevent experience,no_enrollment,Graduate,Other,21.0,Unknown,Unknown,4.0,46,0.0
city_67,0.855,Male,Has relevent experience,no_enrollment,Graduate,STEM,8.0,50-99,Pvt Ltd,1.0,210,0.0
city_114,0.926,Male,Has relevent experience,no_enrollment,Graduate,STEM,10.0,<10,Pvt Ltd,1.0,36,0.0
city_98,0.949,Male,No relevent experience,Full time course,Graduate,STEM,4.0,Unknown,Unknown,1.0,160,1.0
city_21,0.624,Male,Has relevent experience,Full time course,Graduate,STEM,2.0,10/49,NGO,2.0,101,0.0
city_114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,6.0,50-99,Unknown,1.0,46,0.0
city_97,0.925,Male,Has relevent experience,no_enrollment,Graduate,STEM,21.0,1000-4999,Pvt Ltd,5.0,19,0.0
city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,3.0,100-500,Pvt Ltd,2.0,26,1.0
city_90,0.698,Unknown,Has relevent experience,Full time course,Graduate,STEM,7.0,<10,NGO,1.0,90,0.0
city_50,0.8959999999999999,Male,Has relevent experience,no_enrollment,Graduate,STEM,9.0,<10,Pvt Ltd,4.0,59,0.0
city_160,0.92,Male,Has relevent experience,Part time course,Graduate,Business Degree,10.0,50-99,Funded Startup,1.0,260,0.0
city_21,0.624,Female,Has relevent experience,no_enrollment,Graduate,STEM,11.0,50-99,Pvt Ltd,5.0,74,0.0
city_16,0.91,Male,Has relevent experience,no_enrollment,Phd,STEM,21.0,100-500,Pvt Ltd,2.0,20,1.0
city_173,0.878,Male,Has relevent experience,no_enrollment,Graduate,STEM,12.0,100-500,Pvt Ltd,2.0,8,0.0
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,6.0,100-500,Pvt Ltd,1.0,131,0.0
city_138,0.836,Male,Has relevent experience,Full time course,Masters,STEM,7.0,Unknown,Unknown,1.0,45,0.0
city_82,0.693,Male,Has relevent experience,Full time course,Graduate,STEM,11.0,10/49,Pvt Ltd,2.0,109,0.0
city_67,0.855,Male,Has relevent experience,no_enrollment,Graduate,Humanities,3.0,100-500,Pvt Ltd,1.0,70,0.0
city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,21.0,100-500,NGO,5.0,17,0.0
city_103,0.92,Female,No relevent experience,no_enrollment,Masters,STEM,15.0,50-99,Pvt Ltd,1.0,51,0.0
city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,6.0,50-99,Pvt Ltd,3.0,60,1.0
city_36,0.893,Unknown,No relevent experience,no_enrollment,Phd,STEM,21.0,1000-4999,Public Sector,5.0,4,0.0
city_114,0.926,Male,No relevent experience,no_enrollment,Graduate,STEM,12.0,100-500,Pvt Ltd,5.0,7,0.0
city_102,0.804,Unknown,Has relevent experience,no_enrollment,Masters,STEM,21.0,100-500,Pvt Ltd,3.0,164,0.0
city_64,0.6659999999999999,Male,Has relevent experience,no_enrollment,Graduate,STEM,20.0,Unknown,Unknown,4.0,290,0.0
city_102,0.804,Male,No relevent experience,no_enrollment,High School,Unknown,2.0,<10,NGO,0.0,145,0.0
city_103,0.92,Unknown,No relevent experience,no_enrollment,Phd,STEM,0.0,Unknown,Unknown,0.0,70,0.0
city_21,0.624,Male,No relevent experience,no_enrollment,Unknown,Unknown,3.0,Unknown,Unknown,1.0,24,0.0
city_103,0.92,Male,No relevent experience,no_enrollment,Masters,Humanities,3.0,10000+,Pvt Ltd,1.0,133,1.0
city_11,0.55,Unknown,No relevent experience,Full time course,Graduate,STEM,2.0,Unknown,Unknown,1.0,20,0.0
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,10.0,<10,Funded Startup,1.0,76,0.0
city_90,0.698,Female,No relevent experience,Full time course,Masters,STEM,5.0,Unknown,Unknown,4.0,21,1.0
city_21,0.624,Female,Has relevent experience,no_enrollment,Graduate,Other,8.0,5000-9999,Pvt Ltd,2.0,34,0.0
city_160,0.92,Male,No relevent experience,no_enrollment,Graduate,STEM,9.0,<10,Pvt Ltd,2.0,15,0.0
city_57,0.866,Male,No relevent experience,no_enrollment,Graduate,STEM,21.0,Unknown,Unknown,5.0,156,0.0
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,21.0,5000-9999,Pvt Ltd,5.0,15,0.0
city_114,0.926,Unknown,Has relevent experience,no_enrollment,Masters,STEM,21.0,Unknown,Unknown,0.0,120,0.0
city_157,0.769,Unknown,Has relevent experience,no_enrollment,Graduate,No Major,14.0,10000+,Unknown,5.0,47,0.0
city_73,0.754,Male,Has relevent experience,no_enrollment,Graduate,STEM,12.0,Unknown,Unknown,2.0,100,1.0
city_67,0.855,Male,Has relevent experience,Part time course,Graduate,STEM,6.0,500-999,Pvt Ltd,0.0,102,0.0
city_103,0.92,Male,No relevent experience,no_enrollment,High School,Unknown,4.0,Unknown,Unknown,0.0,52,0.0
city_114,0.926,Unknown,Has relevent experience,no_enrollment,High School,Unknown,9.0,10/49,Unknown,4.0,39,0.0
city_103,0.92,Male,Has relevent experience,Full time course,High School,Unknown,4.0,Unknown,Unknown,1.0,112,1.0
city_103,0.92,Male,No relevent experience,no_enrollment,Phd,STEM,21.0,50-99,Pvt Ltd,5.0,14,0.0
city_16,0.91,Unknown,Has relevent experience,no_enrollment,Unknown,Unknown,11.0,Unknown,Unknown,1.0,4,0.0
city_16,0.91,Unknown,Has relevent experience,no_enrollment,Masters,Arts,21.0,1000-4999,NGO,5.0,55,0.0
city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,6.0,10000+,Pvt Ltd,4.0,49,1.0
city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,15.0,Unknown,Unknown,5.0,72,0.0
city_89,0.925,Male,Has relevent experience,Full time course,Graduate,STEM,14.0,5000-9999,Pvt Ltd,3.0,141,1.0
city_114,0.926,Male,No relevent experience,no_enrollment,High School,Unknown,6.0,Unknown,Pvt Ltd,0.0,28,0.0
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,13.0,10000+,Pvt Ltd,1.0,6,0.0
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,No Major,17.0,5000-9999,Pvt Ltd,1.0,125,0.0
city_75,0.939,Unknown,Has relevent experience,no_enrollment,Graduate,STEM,21.0,Unknown,Unknown,0.0,326,0.0
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Other,21.0,100-500,Pvt Ltd,2.0,33,0.0
city_102,0.804,Unknown,No relevent experience,no_enrollment,Masters,STEM,6.0,10000+,Pvt Ltd,5.0,40,0.0
city_160,0.92,Unknown,Has relevent experience,no_enrollment,Graduate,STEM,18.0,Unknown,Unknown,1.0,198,1.0
city_103,0.92,Female,Has relevent experience,no_enrollment,Masters,STEM,15.0,10000+,Pvt Ltd,5.0,55,0.0
city_150,0.698,Male,No relevent experience,no_enrollment,Graduate,STEM,21.0,500-999,Pvt Ltd,5.0,32,0.0
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Arts,21.0,100-500,Pvt Ltd,5.0,11,0.0
city_73,0.754,Male,Has relevent experience,no_enrollment,Graduate,STEM,21.0,<10,Pvt Ltd,1.0,41,0.0
city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,21.0,10000+,Public Sector,5.0,87,1.0
city_67,0.855,Male,Has relevent experience,no_enrollment,Masters,STEM,10.0,100-500,Pvt Ltd,4.0,114,0.0
city_70,0.698,Unknown,Has relevent experience,Unknown,Unknown,Unknown,21.0,Unknown,Unknown,5.0,33,0.0
city_90,0.698,Male,Has relevent experience,Part time course,Masters,STEM,5.0,<10,Early Stage Startup,1.0,15,0.0
city_16,0.91,Unknown,No relevent experience,Full time course,High School,Unknown,3.0,Unknown,Unknown,1.0,8,0.0
city_173,0.878,Female,Has relevent experience,Part time course,High School,Unknown,2.0,100-500,NGO,1.0,22,0.0
city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,21.0,5000-9999,Pvt Ltd,4.0,13,0.0
city_98,0.949,Male,Has relevent experience,no_enrollment,Graduate,STEM,21.0,<10,Public Sector,1.0,246,0.0
city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,9.0,10/49,Pvt Ltd,1.0,22,0.0
city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,21.0,<10,Funded Startup,1.0,81,0.0
city_175,0.7759999999999999,Unknown,Has relevent experience,Full time course,Graduate,STEM,4.0,10/49,Funded Startup,1.0,11,0.0
city_94,0.698,Male,No relevent experience,Full time course,Graduate,STEM,5.0,5000-9999,Unknown,0.0,24,1.0
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,21.0,100-500,Funded Startup,1.0,50,0.0
city_104,0.924,Male,No relevent experience,Full time course,High School,Unknown,6.0,Unknown,Unknown,0.0,15,0.0
city_28,0.939,Male,Has relevent experience,no_enrollment,Masters,STEM,21.0,10/49,Pvt Ltd,5.0,31,0.0
city_114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,21.0,50-99,Pvt Ltd,0.0,84,0.0
city_136,0.897,Male,Has relevent experience,Part time course,Graduate,STEM,4.0,10000+,Pvt Ltd,1.0,42,0.0
city_21,0.624,Unknown,Has relevent experience,no_enrollment,Graduate,STEM,10.0,10/49,Pvt Ltd,5.0,105,1.0
city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,21.0,50-99,Pvt Ltd,5.0,72,0.0
city_115,0.789,Male,Has relevent experience,no_enrollment,Graduate,STEM,14.0,10/49,Pvt Ltd,5.0,42,1.0
city_94,0.698,Male,Has relevent experience,no_enrollment,Graduate,STEM,15.0,50-99,Early Stage Startup,1.0,152,0.0
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,12.0,10000+,Pvt Ltd,1.0,60,0.0
city_21,0.624,Male,No relevent experience,Full time course,Masters,STEM,2.0,Unknown,Unknown,0.0,8,0.0
city_16,0.91,Male,No relevent experience,Full time course,Masters,STEM,13.0,Unknown,Unknown,3.0,17,1.0
city_83,0.923,Male,No relevent experience,no_enrollment,High School,Unknown,1.0,Unknown,Unknown,1.0,33,0.0
city_16,0.91,Male,Has relevent experience,no_enrollment,Masters,STEM,4.0,100-500,Funded Startup,0.0,38,0.0
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Humanities,14.0,<10,Early Stage Startup,2.0,178,0.0
